,SALEDATE,PRICE
106993,2006-02-10,245050.0
106994,2005-09-29,180000.0
106995,2015-05-22,74550.0
106996,2012-06-27,47000.0
106997,2006-06-01,264710.0
106998,2012-03-30,93000.0
106999,2012-04-11,65000.0
107000,2005-10-19,195000.0
107001,2017-08-04,164571.0
107002,2013-11-13,145000.0
107003,2012-04-17,55000.0
107004,2014-04-03,80500.0
107006,2010-11-12,425000.0
107007,2011-06-07,90000.0
107008,2015-11-25,45000.0
107009,2012-10-02,72400.0
107010,2006-07-28,220000.0
107011,2010-10-21,90000.0
107012,2010-04-22,22000.0
107013,2017-11-01,72190.0
107014,2002-07-01,68995.0
107015,2013-10-11,41500.0
107016,2002-04-12,79995.0
107018,2017-09-28,103000.0
107019,2004-12-10,108000.0
107020,2017-10-13,47500.0
107021,2002-04-19,65995.0
107022,2002-04-18,68995.0
107023,2011-09-01,33000.0
107024,2004-08-02,95000.0
107025,2002-09-05,66995.0
107026,2002-03-18,66995.0
107027,2016-09-02,65000.0
107028,2006-11-15,165000.0
107029,2002-12-23,38358.0
107030,2015-08-05,45000.0
107032,2002-12-18,29900.0
107034,2011-06-20,20849.0
107037,2005-03-23,51900.0
107039,2015-07-31,289900.0
107040,2015-11-24,333500.0
107041,2015-10-21,274900.0
107042,2015-08-06,288790.0
107043,2015-08-06,261720.0
107044,2015-07-23,339900.0
107045,2015-08-06,291720.0
107046,2016-07-25,369900.0
107049,2009-11-20,14000.0
107051,2002-07-31,23300.0
107058,2004-03-24,56400.0
107059,2016-05-24,40000.0
107060,2017-07-21,15000.0
107063,2010-12-07,78700.0
107069,2001-08-13,18000.0
107070,2012-09-28,55000.0
107073,2011-06-22,36000.0
107076,2012-10-31,13000.0
107078,2007-01-04,125000.0
107079,2006-08-08,135000.0
107080,2017-09-28,28000.0
107081,2001-02-09,44000.0
107082,2007-03-21,125000.0
107083,1999-02-17,8000.0
107084,2015-05-18,450000.0
107085,2015-05-18,450000.0
107086,2007-11-19,162900.0
107087,2007-12-27,179500.0
107088,2008-11-04,162900.0
107090,2009-05-21,169000.0
107091,2007-12-05,251900.0
107092,2007-12-27,225400.0
107093,2008-09-09,149900.0
107094,2007-11-16,183900.0
107095,2017-11-20,280000.0
107096,2016-02-02,205000.0
107097,2008-03-12,174900.0
107098,2018-03-27,189000.0
107100,2008-02-08,205000.0
107102,2008-05-06,183400.0
107103,2009-03-31,191900.0
107104,2017-02-24,190000.0
107106,2008-05-22,87600.0
107107,2011-04-04,179900.0
107109,2012-10-03,85000.0
107111,2008-04-22,229900.0
107112,2008-05-06,200000.0
107113,2007-10-31,158000.0
107115,2014-08-28,209500.0
107116,2009-07-15,183900.0
107117,2017-01-03,177500.0
107118,2008-07-16,186900.0
107119,2017-10-10,201000.0
107120,2018-03-27,118119.0
107121,2018-02-12,192500.0
107123,2009-01-05,185900.0
107129,2016-03-03,205000.0
107130,2017-06-19,134012.0
107131,2008-07-14,220000.0
107132,2017-07-10,187000.0
107134,2007-09-25,174500.0
107135,2008-09-11,199500.0
107137,2008-09-12,172500.0
107138,2009-01-09,152000.0
107139,2009-05-13,175000.0
107141,2008-09-24,163000.0
107142,2008-01-17,209500.0
107144,2017-01-13,185900.0
107145,2008-11-17,209000.0
107146,2017-09-19,193500.0
107147,2007-11-30,190000.0
107148,2017-05-31,130000.0
107149,2014-04-11,74000.0
107150,2008-01-14,204500.0
107151,2007-10-05,179138.0
107152,2007-10-25,209000.0
107153,2007-11-08,214500.0
107154,2007-11-01,209500.0
107155,2007-10-15,218000.0
107156,2017-04-28,189500.0
107158,2018-04-03,85000.0
107159,2007-01-22,165000.0
107160,2009-05-29,35000.0
107161,2006-04-19,118000.0
107163,2002-12-26,67300.0
107164,2005-05-20,107000.0
107165,2002-04-24,69995.0
107166,2010-10-26,29000.0
107167,2014-02-19,58000.0
107168,2015-02-05,50000.0
107171,2005-02-24,114900.0
107172,2018-05-30,60000.0
107173,2005-06-15,108150.0
107175,2011-08-08,17000.0
107176,2004-12-20,120000.0
107177,2008-11-20,60735.0
107178,2018-03-27,31000.0
107179,2005-07-11,120000.0
107180,2016-05-24,63518.0
107181,2013-06-13,34000.0
107182,2005-04-26,120000.0
107183,2015-07-31,158541.0
107184,2015-06-25,203541.0
107185,2017-03-03,203542.0
107186,2016-03-24,203542.0
107187,2016-05-25,203541.0
107188,2016-01-15,158541.0
107189,2015-11-04,158542.0
107190,2016-03-17,158542.0
107191,2016-02-04,158541.0
107192,2015-06-15,158542.0
107193,2015-05-19,203542.0
107194,2015-07-07,203541.0
107195,2015-07-17,158541.0
107196,2015-11-04,203541.0
107197,2015-11-04,203541.0
107198,2015-12-17,203542.0
107199,2015-08-20,158542.0
107200,2016-04-28,203541.0
107201,2016-08-05,203541.0
107202,2015-12-18,203542.0
107203,2015-10-14,158542.0
107206,2015-12-31,203543.0
107207,2007-09-05,205635.0
107208,2007-08-23,194500.0
107209,2007-09-25,149500.0
107210,2018-05-17,37000.0
107211,2017-08-23,146628.0
107212,2007-09-05,214500.0
107213,2007-10-03,169500.0
107214,2007-09-14,169500.0
107216,2007-10-15,219500.0
107217,2014-02-28,59000.0
107219,2014-09-23,45000.0
107220,2016-01-12,53000.0
107222,2006-03-24,189000.0
107223,2012-06-18,51000.0
107224,2006-03-31,185000.0
107225,2006-03-14,185000.0
107226,2015-05-18,450000.0
107227,2015-05-18,450000.0
107228,2013-09-12,90000.0
107229,2006-03-07,225000.0
107230,2014-10-30,125000.0
107231,2008-07-07,185000.0
107232,2018-07-02,67500.0
107233,2008-06-19,250000.0
107236,2007-05-31,199179.0
