,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,FIREPLACES,USECODE,LANDAREA,LIVING_GBA,WARD,SalevYB,SalevYI
35849,2,0,4,1,4,2,1998.0,1998.0,1998,582000.0,0,1,1,16,521,965.0,0,7.0,7
35850,2,1,4,1,5,2,1998.0,1998.0,1998,749000.0,1,5,1,16,834,1383.0,0,16.0,16
35851,2,0,4,1,4,2,1998.0,1998.0,1998,530000.0,1,1,1,16,600,965.0,0,10.0,10
35852,2,0,4,1,4,2,1998.0,1998.0,1998,580000.0,1,1,1,16,521,965.0,0,13.0,13
35853,2,1,4,1,5,2,1998.0,1998.0,1998,780000.0,1,4,1,16,834,1383.0,0,16.0,16
35854,2,0,4,1,4,2,1998.0,1998.0,1998,517000.0,1,1,1,16,443,890.0,0,8.0,8
35855,1,1,4,1,4,2,1998.0,1998.0,1998,510000.0,1,1,1,16,600,1007.0,0,8.0,8
35856,2,0,4,1,4,2,1998.0,1998.0,1998,629500.0,1,1,1,16,600,918.0,0,15.0,15
35857,1,1,4,1,4,2,1998.0,1900.0,1900,650000.0,1,4,1,16,600,1007.0,0,19.0,117
35858,2,0,4,1,4,2,1998.0,1900.0,1900,550000.0,1,1,1,16,521,965.0,0,12.0,110
35859,2,0,4,1,4,2,1998.0,1900.0,1900,610000.0,1,1,1,16,600,965.0,0,12.0,110
35860,2,0,4,1,4,2,1998.0,1900.0,1900,587000.0,1,1,1,16,521,965.0,0,14.0,112
35861,1,1,4,1,4,2,1998.0,1900.0,1900,665000.0,1,4,1,16,600,1007.0,0,18.0,116
35862,2,0,4,1,4,2,1998.0,1900.0,1900,684000.0,1,5,1,16,600,965.0,0,16.0,114
35863,2,0,4,1,5,3,1998.0,1900.0,1900,843000.0,1,5,1,16,678,1145.0,0,20.0,118
35864,2,1,4,1,5,2,1998.0,1900.0,1900,765000.0,1,1,1,16,678,1255.0,0,15.0,113
35865,2,0,4,1,5,2,1998.0,1900.0,1900,635000.0,1,1,1,16,730,1273.0,0,6.0,104
35866,1,1,4,1,4,1,1998.0,1900.0,1900,525000.0,1,4,1,16,521,955.0,0,18.0,116
35867,1,0,1,0,3,1,1928.0,1980.0,1928,369000.0,0,1,0,17,224,736.0,0,85.0,85
35868,1,0,1,0,2,0,1928.0,1980.0,1928,230000.0,0,1,0,17,139,460.0,0,84.0,84
35869,1,0,1,0,4,1,1928.0,1980.0,1928,465000.0,0,4,0,17,252,828.0,0,87.0,87
35870,1,0,1,0,2,0,1928.0,1980.0,1928,209000.0,0,1,0,17,135,446.0,0,76.0,76
35871,1,0,1,0,3,1,1928.0,1980.0,1928,365000.0,0,5,0,17,192,626.0,0,89.0,89
35872,1,0,1,0,3,1,1928.0,1980.0,1928,402200.0,0,4,0,17,224,738.0,0,88.0,88
35873,1,0,1,0,3,1,1928.0,1980.0,1928,228000.0,0,1,0,17,224,734.0,0,74.0,74
35874,1,0,1,0,3,1,1929.0,1929.0,1929,280000.0,0,2,0,17,347,578.0,2,88.0,88
35875,1,0,1,0,5,1,1929.0,1929.0,1929,195000.0,0,1,0,17,507,923.0,2,67.0,67
35876,2,0,1,0,6,2,1929.0,1929.0,1929,770000.0,0,1,0,17,749,1462.0,2,75.0,75
35877,1,0,1,0,4,1,1929.0,1929.0,1929,406000.0,0,4,0,17,451,864.0,2,77.0,77
35878,1,0,1,0,4,1,1929.0,1929.0,1929,291450.0,0,1,0,17,469,861.0,2,72.0,72
35879,1,1,1,0,6,2,1929.0,1929.0,1929,514750.0,0,1,0,17,736,1401.0,2,82.0,82
35880,1,0,1,0,4,1,1929.0,1929.0,1929,301000.0,0,1,0,17,428,817.0,2,73.0,73
35881,1,0,1,0,4,1,1929.0,1929.0,1929,415000.0,0,1,0,17,420,834.0,2,84.0,84
35882,1,0,1,0,4,1,1929.0,1929.0,1929,201000.0,0,1,0,17,588,1140.0,2,69.0,69
35883,2,0,1,0,6,2,1929.0,1929.0,1929,710000.0,0,4,0,17,668,1348.0,2,88.0,88
35884,1,0,1,0,6,2,1929.0,1929.0,1929,590000.0,0,1,0,17,608,1203.0,2,76.0,76
35885,1,0,1,0,5,1,1929.0,1929.0,1929,553000.0,0,5,0,17,588,1127.0,2,88.0,88
35886,2,0,1,0,6,2,1929.0,1929.0,1929,785000.0,0,3,0,17,864,1650.0,2,85.0,85
35887,1,0,1,0,6,2,1929.0,1929.0,1929,420000.0,0,1,0,17,651,1235.0,2,74.0,74
35888,1,0,1,0,4,1,1929.0,1929.0,1929,320000.0,0,1,0,17,438,813.0,2,74.0,74
35889,1,0,1,0,3,1,1929.0,1929.0,1929,375000.0,1,3,0,17,411,780.0,2,86.0,86
35890,2,0,1,0,6,2,1929.0,1929.0,1929,620000.0,0,2,0,17,736,1462.0,2,89.0,89
35891,1,0,1,0,3,1,1929.0,1929.0,1929,205000.0,0,1,0,17,350,617.0,2,73.0,73
35892,1,0,1,0,3,1,1929.0,1929.0,1929,265000.0,0,2,0,17,350,578.0,2,89.0,89
35893,1,1,1,0,5,2,1929.0,1929.0,1929,660000.0,0,4,0,17,739,1402.0,2,87.0,87
35894,1,0,1,0,5,1,1929.0,1929.0,1929,402000.0,0,1,0,17,423,834.0,2,83.0,83
35895,1,0,1,0,5,1,1929.0,1929.0,1929,404000.0,0,1,0,17,477,900.0,2,75.0,75
35896,1,0,1,0,6,1,1929.0,1929.0,1929,507500.0,0,4,0,17,568,1140.0,2,86.0,86
35897,2,0,1,0,6,2,1929.0,1929.0,1929,399000.0,0,1,0,17,671,1348.0,2,73.0,73
35898,1,0,1,0,5,1,1929.0,1929.0,1929,520000.0,0,3,0,17,568,1127.0,2,85.0,85
35899,2,0,1,0,6,2,1929.0,1929.0,1929,750000.0,0,3,0,17,834,1650.0,2,88.0,88
35900,3,0,1,0,8,4,1929.0,1929.0,1929,1735000.0,0,2,1,17,1942,3030.0,2,89.0,89
35901,1,0,1,0,4,1,1929.0,1929.0,1929,329555.0,0,1,0,17,424,813.0,2,81.0,81
35902,1,0,1,0,3,1,1929.0,1929.0,1929,355000.0,0,1,0,17,414,780.0,2,83.0,83
35903,1,1,1,0,6,2,1929.0,1929.0,1929,540000.0,0,1,0,17,739,1459.0,2,81.0,81
35904,1,1,1,0,6,2,1929.0,1929.0,1929,549200.0,0,1,0,17,739,1459.0,2,82.0,82
35905,1,0,1,0,5,1,1929.0,1929.0,1929,378000.0,0,1,0,17,472,902.0,2,81.0,81
35906,1,0,1,0,5,1,1929.0,1929.0,1929,440000.0,0,1,0,17,472,902.0,2,76.0,76
35907,1,0,1,0,4,1,1929.0,1929.0,1929,350000.0,0,1,0,17,417,800.0,2,77.0,77
35908,2,0,2,1,4,2,1964.0,1980.0,1964,220000.0,1,1,0,17,1230,1207.0,2,44.0,44
35909,1,0,2,1,4,2,1964.0,1980.0,1964,165000.0,1,1,0,17,1230,1207.0,2,31.0,31
35910,1,0,2,1,4,2,1964.0,1980.0,1964,153000.0,0,1,0,17,1230,1207.0,2,35.0,35
35911,2,0,2,1,4,2,1964.0,1980.0,1964,478500.0,1,1,0,17,1230,1207.0,2,49.0,49
35912,2,0,2,1,4,2,1964.0,1980.0,1964,450000.0,1,1,0,17,1262,1232.0,2,48.0,48
35913,2,0,2,1,4,2,1964.0,1980.0,1964,449000.0,1,1,0,17,1262,1232.0,2,49.0,49
35914,2,0,2,1,4,2,1964.0,1980.0,1964,530000.0,1,5,0,17,1262,1232.0,2,52.0,52
35915,2,0,2,1,4,2,1964.0,1980.0,1964,525000.0,1,3,0,17,1262,1232.0,2,53.0,53
35916,2,0,2,1,4,2,1964.0,1980.0,1964,475000.0,1,1,0,17,1262,1232.0,2,45.0,45
35917,2,0,2,1,4,2,1964.0,1980.0,1964,187500.0,1,1,0,17,1262,1232.0,2,33.0,33
35918,1,0,2,1,3,1,1964.0,2013.0,1964,323000.0,1,4,0,17,859,852.0,2,51.0,51
35919,1,0,2,1,3,1,1964.0,1980.0,1964,310000.0,1,4,0,17,859,852.0,2,53.0,53
35920,1,0,2,1,3,1,1964.0,1980.0,1964,288500.0,1,1,0,17,859,852.0,2,48.0,48
35921,1,0,2,1,3,1,1964.0,1980.0,1964,235000.0,1,1,0,17,859,852.0,2,48.0,48
35922,1,0,2,1,3,1,1964.0,1980.0,1964,215000.0,1,1,0,17,859,852.0,2,39.0,39
35923,1,0,2,1,3,1,1964.0,1980.0,1964,255000.0,0,1,0,17,859,852.0,2,47.0,47
35924,1,0,2,1,3,1,1964.0,1980.0,1964,315000.0,0,3,0,17,859,852.0,2,54.0,54
35925,1,0,2,1,3,1,1964.0,1980.0,1964,279000.0,1,1,0,17,859,852.0,2,48.0,48
35926,1,0,2,1,3,1,1964.0,1980.0,1964,324500.0,1,6,0,17,859,852.0,2,51.0,51
35927,1,0,2,1,3,1,1964.0,1980.0,1964,259000.0,0,3,0,17,774,768.0,2,53.0,53
35928,1,0,2,1,3,1,1964.0,1980.0,1964,309900.0,1,4,0,17,774,768.0,2,51.0,51
35929,1,0,2,1,3,1,1964.0,1980.0,1964,218000.0,0,1,0,17,774,768.0,2,38.0,38
35930,1,0,2,1,3,1,1964.0,2005.0,1964,296000.0,1,1,0,17,774,768.0,2,45.0,45
35931,1,0,2,1,2,0,1964.0,1980.0,1964,199900.0,1,3,0,17,459,447.0,2,50.0,50
35932,1,0,2,1,2,1,1964.0,1980.0,1964,198000.0,1,1,0,17,459,447.0,2,48.0,48
35933,1,0,2,1,2,0,1964.0,1980.0,1964,54900.0,0,1,0,17,459,447.0,2,35.0,35
35934,1,0,2,1,2,0,1964.0,1980.0,1964,133500.0,1,1,0,17,459,447.0,2,39.0,39
